@relation t10k

@attribute pix0 {0,1}
@attribute pix1 {0,1}
@attribute pix2 {0,1}
@attribute pix3 {0,1}
@attribute pix4 {0,1}
@attribute pix5 {0,1}
@attribute pix6 {0,1}
@attribute pix7 {0,1}
@attribute pix8 {0,1}
@attribute pix9 {0,1}
@attribute pix10 {0,1}
@attribute pix11 {0,1}
@attribute pix12 {0,1}
@attribute pix13 {0,1}
@attribute pix14 {0,1}
@attribute pix15 {0,1}
@attribute pix16 {0,1}
@attribute pix17 {0,1}
@attribute pix18 {0,1}
@attribute pix19 {0,1}
@attribute pix20 {0,1}
@attribute pix21 {0,1}
@attribute pix22 {0,1}
@attribute pix23 {0,1}
@attribute pix24 {0,1}
@attribute pix25 {0,1}
@attribute pix26 {0,1}
@attribute pix27 {0,1}
@attribute pix28 {0,1}
@attribute pix29 {0,1}
@attribute pix30 {0,1}
@attribute pix31 {0,1}
@attribute pix32 {0,1}
@attribute pix33 {0,1}
@attribute pix34 {0,1}
@attribute pix35 {0,1}
@attribute pix36 {0,1}
@attribute pix37 {0,1}
@attribute pix38 {0,1}
@attribute pix39 {0,1}
@attribute pix40 {0,1}
@attribute pix41 {0,1}
@attribute pix42 {0,1}
@attribute pix43 {0,1}
@attribute pix44 {0,1}
@attribute pix45 {0,1}
@attribute pix46 {0,1}
@attribute pix47 {0,1}
@attribute pix48 {0,1}
@attribute pix49 {0,1}
@attribute pix50 {0,1}
@attribute pix51 {0,1}
@attribute pix52 {0,1}
@attribute pix53 {0,1}
@attribute pix54 {0,1}
@attribute pix55 {0,1}
@attribute pix56 {0,1}
@attribute pix57 {0,1}
@attribute pix58 {0,1}
@attribute pix59 {0,1}
@attribute pix60 {0,1}
@attribute pix61 {0,1}
@attribute pix62 {0,1}
@attribute pix63 {0,1}
@attribute pix64 {0,1}
@attribute pix65 {0,1}
@attribute pix66 {0,1}
@attribute pix67 {0,1}
@attribute pix68 {0,1}
@attribute pix69 {0,1}
@attribute pix70 {0,1}
@attribute pix71 {0,1}
@attribute pix72 {0,1}
@attribute pix73 {0,1}
@attribute pix74 {0,1}
@attribute pix75 {0,1}
@attribute pix76 {0,1}
@attribute pix77 {0,1}
@attribute pix78 {0,1}
@attribute pix79 {0,1}
@attribute pix80 {0,1}
@attribute pix81 {0,1}
@attribute pix82 {0,1}
@attribute pix83 {0,1}
@attribute pix84 {0,1}
@attribute pix85 {0,1}
@attribute pix86 {0,1}
@attribute pix87 {0,1}
@attribute pix88 {0,1}
@attribute pix89 {0,1}
@attribute pix90 {0,1}
@attribute pix91 {0,1}
@attribute pix92 {0,1}
@attribute pix93 {0,1}
@attribute pix94 {0,1}
@attribute pix95 {0,1}
@attribute pix96 {0,1}
@attribute pix97 {0,1}
@attribute pix98 {0,1}
@attribute pix99 {0,1}
@attribute pix100 {0,1}
@attribute pix101 {0,1}
@attribute pix102 {0,1}
@attribute pix103 {0,1}
@attribute pix104 {0,1}
@attribute pix105 {0,1}
@attribute pix106 {0,1}
@attribute pix107 {0,1}
@attribute pix108 {0,1}
@attribute pix109 {0,1}
@attribute pix110 {0,1}
@attribute pix111 {0,1}
@attribute pix112 {0,1}
@attribute pix113 {0,1}
@attribute pix114 {0,1}
@attribute pix115 {0,1}
@attribute pix116 {0,1}
@attribute pix117 {0,1}
@attribute pix118 {0,1}
@attribute pix119 {0,1}
@attribute pix120 {0,1}
@attribute pix121 {0,1}
@attribute pix122 {0,1}
@attribute pix123 {0,1}
@attribute pix124 {0,1}
@attribute pix125 {0,1}
@attribute pix126 {0,1}
@attribute pix127 {0,1}
@attribute pix128 {0,1}
@attribute pix129 {0,1}
@attribute pix130 {0,1}
@attribute pix131 {0,1}
@attribute pix132 {0,1}
@attribute pix133 {0,1}
@attribute pix134 {0,1}
@attribute pix135 {0,1}
@attribute pix136 {0,1}
@attribute pix137 {0,1}
@attribute pix138 {0,1}
@attribute pix139 {0,1}
@attribute pix140 {0,1}
@attribute pix141 {0,1}
@attribute pix142 {0,1}
@attribute pix143 {0,1}
@attribute pix144 {0,1}
@attribute pix145 {0,1}
@attribute pix146 {0,1}
@attribute pix147 {0,1}
@attribute pix148 {0,1}
@attribute pix149 {0,1}
@attribute pix150 {0,1}
@attribute pix151 {0,1}
@attribute pix152 {0,1}
@attribute pix153 {0,1}
@attribute pix154 {0,1}
@attribute pix155 {0,1}
@attribute pix156 {0,1}
@attribute pix157 {0,1}
@attribute pix158 {0,1}
@attribute pix159 {0,1}
@attribute pix160 {0,1}
@attribute pix161 {0,1}
@attribute pix162 {0,1}
@attribute pix163 {0,1}
@attribute pix164 {0,1}
@attribute pix165 {0,1}
@attribute pix166 {0,1}
@attribute pix167 {0,1}
@attribute pix168 {0,1}
@attribute pix169 {0,1}
@attribute pix170 {0,1}
@attribute pix171 {0,1}
@attribute pix172 {0,1}
@attribute pix173 {0,1}
@attribute pix174 {0,1}
@attribute pix175 {0,1}
@attribute pix176 {0,1}
@attribute pix177 {0,1}
@attribute pix178 {0,1}
@attribute pix179 {0,1}
@attribute pix180 {0,1}
@attribute pix181 {0,1}
@attribute pix182 {0,1}
@attribute pix183 {0,1}
@attribute pix184 {0,1}
@attribute pix185 {0,1}
@attribute pix186 {0,1}
@attribute pix187 {0,1}
@attribute pix188 {0,1}
@attribute pix189 {0,1}
@attribute pix190 {0,1}
@attribute pix191 {0,1}
@attribute pix192 {0,1}
@attribute pix193 {0,1}
@attribute pix194 {0,1}
@attribute pix195 {0,1}
@attribute label {0,1,2,3,4,5,6,7,8,9}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
